turn,day,oil_price,escalation,trump_mode,iran_faction,status,iran_missiles,israel_interceptors,irgc_cohesion,uprising_intensity,regime_survival,strait_flow,us_political_will,ceasefire_prob
1,20,92.8,7.54,distraction,IRGC Hardliners,continuing,0.4373,0.2433,0.5130,0.7000,0.4877,0.3760,0.5470,0.2537
2,22,89.0,7.62,escalation,IRGC Hardliners,continuing,0.4250,0.2368,0.4385,0.7000,0.4554,0.3870,0.5440,0.2616
3,24,86.6,7.69,escalation,IRGC Hardliners,continuing,0.3628,0.2303,0.3640,0.7000,0.4132,0.3980,0.5410,0.2713
4,26,86.7,7.77,escalation,IRGC Hardliners,continuing,0.3502,0.2237,0.2895,0.7000,0.3583,0.4090,0.5380,0.2847
5,28,84.9,7.84,escalation,IRGC Hardliners,continuing,0.3377,0.2171,0.2150,0.7000,0.3260,0.4200,0.5350,0.2915
6,30,84.2,7.91,escalation,IRGC Hardliners,continuing,0.3250,0.2104,0.1405,0.7000,0.2937,0.4310,0.5320,0.2983
7,32,85.3,7.98,escalation,IRGC Hardliners,continuing,0.3124,0.2038,0.1000,0.7000,0.2750,0.4420,0.5290,0.3010
8,34,84.4,8.03,distraction,IRGC Hardliners,continuing,0.1996,0.1970,0.1000,0.7000,0.2524,0.4530,0.4260,0.3050
9,36,84.2,8.07,rally,IRGC Hardliners,continuing,0.1868,0.1903,0.1000,0.7000,0.2499,0.4640,0.4230,0.3040
10,38,85.1,8.10,deal,IRGC Hardliners,continuing,0.1739,0.1836,0.1000,0.7000,0.2473,0.4750,0.4200,0.3028
11,40,84.5,8.12,deal,IRGC Hardliners,continuing,0.1110,0.1768,0.1000,0.7000,0.2347,0.4860,0.4170,0.3057
12,42,84.0,8.15,deal,IRGC Hardliners,continuing,0.0981,0.1700,0.1000,0.7000,0.2321,0.4970,0.4140,0.3055
13,44,85.0,8.16,distraction,FM / Civilian Gov,continuing,0.0851,0.1632,0.1000,0.7000,0.2295,0.5080,0.4110,0.3053
14,46,85.1,8.18,deal,FM / Civilian Gov,continuing,0.0222,0.1565,0.1000,0.7000,0.2169,0.5190,0.4080,0.3083
15,48,85.7,8.23,escalation,FM / Civilian Gov,continuing,0.0020,0.1497,0.1000,0.7000,0.2129,0.5300,0.4050,0.3090
16,50,82.5,8.27,escalation,FM / Civilian Gov,continuing,0.0020,0.1439,0.1000,0.7000,0.2129,0.5410,0.4020,0.3071
17,52,81.4,8.30,rally,FM / Civilian Gov,continuing,0.0020,0.1391,0.1000,0.7000,0.2017,0.5520,0.3990,0.3088
18,54,83.2,8.32,distraction,FM / Civilian Gov,continuing,0.0020,0.1352,0.1000,0.7000,0.2017,0.5630,0.3960,0.3075
19,56,83.1,8.33,deal,FM / Civilian Gov,continuing,0.0020,0.1324,0.1000,0.7000,0.2017,0.5740,0.3930,0.3068
20,58,81.7,8.34,distraction,FM / Civilian Gov,continuing,0.0020,0.1305,0.1000,0.7000,0.2017,0.5850,0.3900,0.3064
21,60,82.7,8.37,rally,FM / Civilian Gov,continuing,0.0020,0.1296,0.1000,0.7000,0.2017,0.5960,0.3870,0.3059
22,62,82.7,8.38,deal,FM / Civilian Gov,continuing,0.0020,0.1297,0.1000,0.7000,0.2017,0.6070,0.3840,0.3046
23,64,83.7,8.42,escalation,FM / Civilian Gov,continuing,0.0020,0.1308,0.1000,0.7000,0.2017,0.6180,0.3810,0.3043
24,66,82.6,8.43,distraction,FM / Civilian Gov,continuing,0.0020,0.1319,0.1000,0.7000,0.2017,0.6290,0.3780,0.3028
25,68,82.5,8.44,deal,FM / Civilian Gov,continuing,0.0020,0.1330,0.1000,0.7000,0.2017,0.6400,0.3750,0.3022
26,70,81.7,8.44,deal,FM / Civilian Gov,continuing,0.0020,0.0341,0.1000,0.7000,0.2017,0.6510,0.3720,0.3020
27,72,82.2,8.46,distraction,FM / Civilian Gov,interceptor_failure,0.0020,0.0352,0.1000,0.7000,0.2017,0.6620,0.3690,0.3018
