turn,day,oil_price,escalation,trump_mode,iran_faction,status,iran_missiles,israel_interceptors,irgc_cohesion,uprising_intensity,regime_survival,strait_flow,us_political_will,ceasefire_prob
1,20,92.4,7.54,distraction,IRGC Hardliners,continuing,0.4373,0.2433,0.5130,0.7000,0.4877,0.3760,0.5470,0.2537
2,22,89.1,7.62,escalation,IRGC Hardliners,continuing,0.4243,0.2365,0.4385,0.7000,0.4553,0.3870,0.5440,0.2617
3,24,88.3,7.69,rally,IRGC Hardliners,continuing,0.4113,0.2297,0.3715,0.7000,0.4259,0.3980,0.5410,0.2674
4,26,86.0,7.76,rally,IRGC Hardliners,continuing,0.3983,0.2229,0.3045,0.7000,0.3965,0.4090,0.5380,0.2733
5,28,85.2,7.80,deal,IRGC Hardliners,continuing,0.3351,0.2161,0.2585,0.7000,0.3654,0.4200,0.5350,0.2801
6,30,84.2,7.85,distraction,IRGC Hardliners,continuing,0.3221,0.2092,0.2125,0.7000,0.3444,0.4310,0.5320,0.2847
7,32,83.9,7.89,distraction,IRGC Hardliners,continuing,0.2591,0.2024,0.1665,0.7000,0.3134,0.4420,0.5290,0.2920
8,34,84.1,7.94,distraction,IRGC Hardliners,continuing,0.2461,0.1957,0.1205,0.7000,0.2924,0.4530,0.5260,0.2965
9,36,83.9,7.98,distraction,IRGC Hardliners,continuing,0.2331,0.1889,0.1000,0.7000,0.2816,0.4640,0.5230,0.2980
10,38,85.0,8.03,rally,IRGC Hardliners,continuing,0.1700,0.1820,0.0000,0.9000,0.2690,0.4750,0.5200,0.3000
11,40,84.8,8.06,distraction,IRGC Hardliners,continuing,0.1569,0.1752,0.1000,0.9000,0.2264,0.4860,0.5170,0.3109
12,42,85.2,8.08,deal,IRGC Hardliners,continuing,0.0937,0.1683,0.1000,0.9000,0.2137,0.4970,0.5140,0.3136
13,44,84.5,8.13,rally,IRGC Hardliners,continuing,0.0805,0.1614,0.1000,0.9000,0.2111,0.5080,0.5110,0.3134
14,46,85.2,8.14,deal,FM / Civilian Gov,continuing,0.0674,0.1545,0.1000,0.9000,0.2085,0.5190,0.5080,0.3124
15,48,85.5,8.18,rally,FM / Civilian Gov,continuing,0.0543,0.1477,0.1000,0.9000,0.2059,0.5300,0.5050,0.3126
16,50,84.8,8.22,escalation,FM / Civilian Gov,continuing,0.0413,0.1419,0.1000,0.9000,0.2033,0.5410,0.5020,0.3119
17,52,84.9,8.27,rally,FM / Civilian Gov,continuing,0.0281,0.1370,0.1000,0.9000,0.2006,0.5520,0.4990,0.3110
18,54,83.6,8.31,distraction,FM / Civilian Gov,continuing,0.0020,0.1332,0.1000,0.9000,0.1954,0.5630,0.4960,0.3105
19,56,82.3,8.35,distraction,FM / Civilian Gov,continuing,0.0020,0.1303,0.1000,0.9000,0.1954,0.5740,0.4430,0.3090
20,58,82.5,8.36,distraction,FM / Civilian Gov,continuing,0.0020,0.1285,0.1000,0.9000,0.1954,0.5850,0.4400,0.3075
21,60,83.4,8.38,distraction,FM / Civilian Gov,continuing,0.0020,0.1276,0.1000,0.9000,0.1454,0.5960,0.4370,0.3069
22,62,84.4,8.42,rally,FM / Civilian Gov,continuing,0.0020,0.1277,0.1000,0.9000,0.1954,0.6070,0.4340,0.3061
23,64,82.8,8.46,escalation,FM / Civilian Gov,continuing,0.0020,0.1288,0.1000,0.9000,0.1954,0.6180,0.4310,0.3048
24,66,81.9,8.47,distraction,FM / Civilian Gov,continuing,0.0020,0.1300,0.1000,0.9000,0.1954,0.6290,0.4280,0.3031
25,68,82.1,8.49,distraction,FM / Civilian Gov,continuing,0.0020,0.1311,0.1000,0.9000,0.1954,0.6400,0.4250,0.3025
26,70,80.7,8.49,deal,FM / Civilian Gov,continuing,0.0020,0.1322,0.1000,0.9000,0.1954,0.6510,0.4220,0.3020
27,72,81.4,8.50,deal,FM / Civilian Gov,continuing,0.0020,0.1334,0.1000,0.9000,0.1954,0.6620,0.4190,0.3017
28,74,80.6,8.51,deal,FM / Civilian Gov,continuing,0.0020,0.1345,0.1000,0.9000,0.1954,0.6730,0.4160,0.3013
29,76,80.9,8.52,distraction,FM / Civilian Gov,continuing,0.0020,0.1356,0.1000,0.9000,0.1454,0.6840,0.4130,0.3010
30,78,82.7,8.53,distraction,FM / Civilian Gov,continuing,0.0020,0.1368,0.1000,0.9000,0.1954,0.6950,0.4100,0.3006
31,80,82.4,8.56,rally,FM / Civilian Gov,continuing,0.0020,0.1379,0.1000,0.9000,0.1954,0.7060,0.4070,0.3002
32,82,82.2,8.57,distraction,FM / Civilian Gov,continuing,0.0020,0.1390,0.1000,0.9000,0.1954,0.7170,0.4040,0.2991
33,84,79.6,8.60,rally,FM / Civilian Gov,continuing,0.0020,0.1401,0.1000,0.9000,0.1954,0.7280,0.4010,0.2986
34,86,78.5,8.61,deal,FM / Civilian Gov,continuing,0.0020,0.1412,0.1000,0.9000,0.1954,0.7390,0.2980,0.2973
35,88,79.0,8.64,escalation,FM / Civilian Gov,continuing,0.0020,0.1423,0.1000,0.9000,0.1954,0.7500,0.2950,0.2970
36,90,79.5,8.65,distraction,FM / Civilian Gov,continuing,0.0020,0.1434,0.1000,0.9000,0.1954,0.7610,0.2920,0.2957
37,92,79.6,8.66,deal,FM / Civilian Gov,continuing,0.0020,0.1445,0.1000,0.9000,0.1954,0.7720,0.2890,0.2952
38,94,78.9,8.68,rally,FM / Civilian Gov,continuing,0.0020,0.1456,0.1000,0.9000,0.1954,0.7830,0.2860,0.2951
39,96,78.9,8.72,escalation,FM / Civilian Gov,continuing,0.0020,0.1466,0.1000,0.9000,0.1954,0.7940,0.2830,0.2940
40,98,78.8,8.76,escalation,FM / Civilian Gov,continuing,0.0020,0.1477,0.1000,0.9000,0.1954,0.8050,0.2800,0.2924
41,100,79.3,8.80,escalation,FM / Civilian Gov,continuing,0.0020,0.1488,0.1000,0.9000,0.1954,0.8160,0.2770,0.2908
42,102,78.8,8.81,deal,FM / Civilian Gov,continuing,0.0020,0.1498,0.1000,0.9000,0.1729,0.8270,0.2740,0.2961
43,104,79.2,8.82,deal,FM / Civilian Gov,continuing,0.0020,0.1509,0.1000,0.9000,0.1729,0.8380,0.2710,0.2956
44,106,78.9,8.81,deal,FM / Civilian Gov,continuing,0.0020,0.1569,0.1000,0.9000,0.1729,0.8490,0.2680,0.2953
45,108,78.4,8.82,rally,FM / Civilian Gov,continuing,0.0020,0.1629,0.1000,0.9000,0.1729,0.8600,0.2650,0.2958
46,110,78.8,8.84,rally,FM / Civilian Gov,continuing,0.0020,0.1689,0.1000,0.9000,0.1729,0.8630,0.2620,0.2954
47,112,79.4,8.86,rally,FM / Civilian Gov,continuing,0.0020,0.1749,0.1000,0.9000,0.1729,0.8660,0.2590,0.2947
48,114,78.9,8.88,rally,FM / Civilian Gov,continuing,0.0020,0.1809,0.1000,0.9000,0.1729,0.8690,0.2060,0.2939
49,116,79.6,8.89,rally,FM / Civilian Gov,continuing,0.0020,0.1869,0.1000,0.9000,0.1729,0.8720,0.2030,0.2929
50,118,78.8,8.91,escalation,FM / Civilian Gov,continuing,0.0020,0.1929,0.1000,0.9000,0.1729,0.8750,0.2000,0.2925
51,120,77.5,8.91,deal,FM / Civilian Gov,continuing,0.0020,0.1989,0.1000,0.9000,0.1729,0.8780,0.1970,0.2916
52,122,77.2,8.93,escalation,FM / Civilian Gov,continuing,0.0020,0.2049,0.1000,0.9000,0.1729,0.8810,0.1940,0.2917
53,124,76.5,8.96,escalation,FM / Civilian Gov,continuing,0.0020,0.2109,0.1000,0.9000,0.1729,0.8840,0.1910,0.2908
54,126,75.7,8.96,distraction,FM / Civilian Gov,continuing,0.0020,0.2169,0.1000,0.9000,0.1729,0.8870,0.1880,0.2898
55,128,75.5,8.95,distraction,FM / Civilian Gov,continuing,0.0020,0.2229,0.1000,0.9000,0.1729,0.8900,0.1850,0.2898
56,130,76.8,8.95,deal,FM / Civilian Gov,continuing,0.0020,0.2289,0.1000,0.9000,0.1729,0.8930,0.0820,0.2900
57,132,77.9,8.94,deal,FM / Civilian Gov,continuing,0.0020,0.2349,0.1000,0.9000,0.1729,0.8960,0.1000,0.2903
58,134,77.7,8.97,escalation,FM / Civilian Gov,continuing,0.0020,0.2409,0.1000,0.9000,0.1729,0.8990,0.1000,0.2903
59,136,78.2,8.99,rally,FM / Civilian Gov,continuing,0.0020,0.2469,0.1000,0.9000,0.1729,0.9020,0.1000,0.2893
