turn,day,oil_price,escalation,trump_mode,iran_faction,status,iran_missiles,israel_interceptors,irgc_cohesion,uprising_intensity,regime_survival,strait_flow,us_political_will,ceasefire_prob
1,20,98.4,7.59,distraction,IRGC Hardliners,continuing,0.4373,0.2433,0.5130,0.7000,0.4877,0.3760,0.5470,0.2537
2,22,98.0,7.72,escalation,IRGC Hardliners,continuing,0.4250,0.2368,0.4385,0.7000,0.4554,0.3870,0.5440,0.2596
3,24,97.6,7.84,escalation,IRGC Hardliners,continuing,0.3628,0.2303,0.3640,0.7000,0.4132,0.3980,0.5410,0.2673
4,26,98.9,7.97,escalation,IRGC Hardliners,continuing,0.3502,0.2237,0.2895,0.7000,0.3583,0.4090,0.5380,0.2787
5,28,98.7,8.02,distraction,IRGC Hardliners,continuing,0.3377,0.2171,0.2435,0.7000,0.3374,0.4200,0.5350,0.2801
6,30,97.5,8.07,distraction,IRGC Hardliners,continuing,0.2750,0.2104,0.1975,0.7000,0.2565,0.4310,0.5320,0.2874
7,32,97.2,8.11,deal,IRGC Hardliners,continuing,0.2122,0.2037,0.1515,0.7000,0.2755,0.4420,0.5290,0.2946
8,34,98.6,8.16,distraction,IRGC Hardliners,continuing,0.1993,0.1969,0.1055,0.7000,0.2546,0.4530,0.5260,0.2992
9,36,99.1,8.20,distraction,IRGC Hardliners,continuing,0.1864,0.1902,0.1000,0.7000,0.2498,0.4640,0.5230,0.2987
10,38,98.1,8.25,rally,IRGC Hardliners,continuing,0.1734,0.1834,0.1000,0.7000,0.2472,0.4750,0.5200,0.2980
11,40,98.4,8.29,rally,IRGC Hardliners,continuing,0.1105,0.1766,0.1000,0.7000,0.2346,0.4860,0.5170,0.2998
12,42,96.8,8.33,distraction,IRGC Hardliners,continuing,0.0975,0.1698,0.1000,0.7000,0.2320,0.4970,0.5140,0.2987
13,44,97.7,8.35,distraction,FM / Civilian Gov,continuing,0.0845,0.0630,0.1000,0.7000,0.2294,0.5080,0.5110,0.2981
14,46,98.4,8.38,distraction,FM / Civilian Gov,continuing,0.0716,0.0562,0.1000,0.7000,0.2268,0.5190,0.5080,0.2979
15,48,97.8,8.40,deal,FM / Civilian Gov,continuing,0.0087,0.0495,0.1000,0.7000,0.2142,0.5300,0.5050,0.3006
16,50,96.5,8.45,escalation,FM / Civilian Gov,interceptor_failure,0.0020,0.0437,0.1000,0.7000,0.2129,0.5410,0.5020,0.3001
